NODE,SWIP,PORT,TOKYTHUAT,TRAM,MACSHT
4G-CGI024M-LAN,10.81.4.135,19,Cần Giuộc,CGI024M,CSHT_LAN_00961
4G-CGI028M-LAN,10.81.5.121,7,Cần Giuộc,CGI028M,CSHT_LAN_00878
UL_CGI031M_LAN,10.81.4.139,5,Cần Giuộc,CGI031M,CSHT_LAN_00937
4G-CGI032M-LAN,10.81.4.143,8,Cần Giuộc,CGI032M,CSHT_LAN_00925
4G-CGI034M-LAN,10.81.4.139,21,Cần Giuộc,CGI034M,CSHT_LAN_00960
4G-CGI035M-LAN,10.81.4.135,24,Cần Giuộc,CGI035M,CSHT_LAN_00962
4G-CGI069M-LAN,10.81.4.125,12,Cần Giuộc,CGI069M,CSHT_LAN_00932
4G-DHO042S-LAN,10.81.4.62,3,Đức Hòa,DHO042S,CSHT_LAN_00642
4G-DHO052S-LAN,10.81.4.50,9,Đức Hòa,DHO052S,CSHT_LAN_00647
4G-DHO156S-LAN,10.81.4.70,6,Hậu Nghĩa,DHO127P,CSHT_LAN_00871
4G-DHU026S-LAN,10.81.4.76,8,Đức Huệ,DHU026S,CSHT_LAN_00634
4G-DHU032S-LAN,10.81.4.164,15,Đức Huệ,DHU032S,CSHT_LAN_00870
4G-DHU033S-LAN,10.81.4.166,6,Đức Huệ,DHU033S,CSHT_LAN_00641
4G-DHU034S-LAN,10.81.4.244,12,Đức Huệ,DHU034S,CSHT_LAN_00636
UL_DHU036M_LAN,10.81.5.98,5,Đức Huệ,DHU036M,CSHT_LAN_00950
4G-MHO031S-LAN,10.81.4.49,11,Mộc Hóa,MHO031M,CSHT_LAN_00625
4G-TAN057S-LAN,10.81.4.38,12,Tân An,TAN057S,CSHT_LAN_00633
4G-TAN058S_TAN087S-LAN,10.81.5.23,20,Tân An,TAN058S,CSHT_LAN_00427
4G-TAN059S-LAN,10.81.4.13,19,Tân An 2,TAN059S,CSHT_LAN_00432
4G-TAN060S-LAN,10.81.5.23,21,Tân An,TAN060S,CSHT_LAN_00400
4G-THU015M-LAN,10.81.5.164,2,Tân Hưng,THU015M (Ấp Cây Me),CSHT_LAN_00320
4G-TTH703B-LAN,10.81.5.208,4,Tân Thạnh,Trạm Ấp 6 Nhơn Hoà Lập,CSHT_LAN_00621
4G-TTU029M-LAN,10.81.4.112,2,Thủ Thừa,TTU029M,CSHT_LAN_00946
4G-TTU031M-LAN,10.81.4.112,4,Thủ Thừa,TTU031M,CSHT_LAN_00944
UL_TTU053M_LAN,10.81.4.112,8,Thủ Thừa,TTU053M,CSHT_LAN_00947
UL_VHU701B_LAN,10.81.4.52,9,Vĩnh Hưng,Trạm VT Thái Bình Trung,CSHT_LAN_00679
3G_CDU060S_LAN,10.81.5.128,14,Rạch Kiến,CDU060S,CSHT_LAN_00689
3G_CGI024M_LAN,10.81.4.135,4,Cần Giuộc,CGI024M,CSHT_LAN_00961
3G_CGI028M_LAN,10.81.5.121,8,Cần Giuộc,CGI028M,CSHT_LAN_00878
3G_CGI032M_LAN,10.81.4.143,12,Cần Giuộc,CGI032M,CSHT_LAN_00925
3G_CGI034M_LAN,10.81.4.140,22,Cần Giuộc,CGI034M,CSHT_LAN_00960
3G_CGI035M_LAN,10.81.4.135,11,Cần Giuộc,CGI035M,CSHT_LAN_00962
